"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000187961",333,461,241,260,212,602,477,305,333,149,431,162,405,202,355
"ENSG00000187583",170,200,162,240,137,113,126,152,104,95,91,36,89,112,59
"ENSG00000187642",7,6,2,16,0,21,14,2,6,6,4,0,10,0,0
"ENSG00000188290",256,59,116,73,87,258,148,105,110,84,204,31,470,114,170
"ENSG00000187634",154,215,73,48,81,384,127,105,146,47,160,63,327,264,159
"ENSG00000188976",2629,2826,2964,2216,2149,2818,1674,2291,2130,2503,3512,1749,2835,1408,1423
"ENSG00000187608",274,451,753,238,75,51,143,95,121,66,182,49,69,128,45
"ENSG00000237330",37,119,23,120,141,246,84,68,94,73,90,16,183,83,121
"ENSG00000188157",5101,5767,5170,5167,6258,7701,5624,6596,4221,4851,4282,4140,7257,3457,4308
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000284733",2,16,14,16,11,4,11,4,12,7,9,7,2,7,5
"ENSG00000284662",2,23,16,17,12,4,12,4,13,7,14,8,2,8,5
"ENSG00000186891",27,137,78,19,33,46,56,36,50,17,70,8,71,114,45
"ENSG00000162571",114,126,68,42,27,159,103,66,88,35,19,20,222,61,135
"ENSG00000186827",28,206,167,33,28,55,35,65,34,16,77,16,45,119,27
"ENSG00000131591",665,693,447,590,445,973,1101,683,638,566,517,262,1333,607,944
"ENSG00000184163",17,177,32,33,113,130,94,31,99,39,89,13,143,107,168
"ENSG00000176022",577,1151,790,411,398,506,392,566,464,495,604,410,603,327,239
"ENSG00000078808",1755,2784,3134,3358,3009,5218,2528,2541,3035,2880,3734,2042,4606,2736,3373
"ENSG00000162572",11,90,494,29,39,82,91,38,58,34,60,9,341,40,80
"ENSG00000160087",796,1686,987,978,1019,900,1015,1018,848,986,1496,694,1036,1071,1167
"ENSG00000224051",360,605,596,655,951,898,807,732,785,753,950,510,1091,820,975
"ENSG00000107404",1746,2285,2163,2250,3227,3069,2405,2300,2062,2209,3410,1266,3702,1489,1848
"ENSG00000169962",206,726,74,60,41,50,107,100,54,27,47,60,89,138,56
"ENSG00000162576",1082,2119,673,1656,2641,2022,1976,975,1340,1155,610,337,5387,1452,2538
"ENSG00000131584",1500,1985,3176,1211,1225,3228,2830,1733,1884,1093,988,894,5406,1825,2168
"ENSG00000127054",1165,2329,1497,1723,1593,2773,2234,1545,1552,1427,1914,1139,2989,1224,1528
"ENSG00000169972",205,309,371,201,170,307,230,194,155,233,366,221,255,204,160
"ENSG00000235098",8,96,1511,7,10,7,11,13,38,7,23,6,48,39,8
"ENSG00000242485",741,1296,1057,880,885,817,704,888,714,912,1288,866,687,834,617
"ENSG00000179403",1258,1560,3415,938,978,925,637,2090,1017,618,1089,1393,902,535,280
"ENSG00000175756",443,434,649,480,669,670,281,650,705,754,1606,524,657,427,570
"ENSG00000221978",3753,9895,7613,7893,7313,7219,5349,7438,4529,2520,5051,5148,7073,6934,3734
"ENSG00000228594",134,180,50,52,16,90,34,172,123,127,158,51,21,18,32
"ENSG00000215915",54,111,271,3,28,57,30,103,19,33,48,14,23,55,27
"ENSG00000197785",935,979,1314,903,741,1082,631,1042,917,1050,1175,732,1058,662,526
"ENSG00000205090",15,51,7,16,12,68,6,14,3,6,5,8,14,8,14
"ENSG00000160072",2363,2425,2014,2044,1690,3416,2700,2295,2141,1461,1808,1130,4082,1726,1874
"ENSG00000160075",2844,3948,3164,2869,3085,3059,2476,3463,2375,3563,3325,2872,2841,2430,2211
"ENSG00000197530",1124,2213,848,1697,2633,4546,3148,1670,1615,1638,1686,1119,5765,1730,2189
"ENSG00000189409",8,53,16,2,71,50,94,40,48,25,14,0,114,42,32
"ENSG00000248333",935,1706,1233,1424,1379,2701,2074,1750,2488,1389,1596,678,1859,1422,2095
"ENSG00000008128",1082,1433,1022,1108,1336,2555,2150,1710,2279,579,1207,596,1972,1087,2338
"ENSG00000189339",2298,4931,2600,3495,2281,7130,4945,3392,3826,1777,2212,3172,4878,2733,3534
"ENSG00000169885",17,10,8,13,13,10,18,12,16,14,4,3,36,18,14
"ENSG00000178821",27,29,56,20,7,31,31,21,28,80,70,18,61,10,12
"ENSG00000187730",9,34,37,9,8,10,2,8,8,2,35,12,6,4,3
"ENSG00000142609",7,25,207,8,0,6,0,2,17,0,0,0,0,0,0
"ENSG00000008130",2321,3327,2138,2323,2518,3475,2639,2616,2564,2654,2570,2262,3592,2585,3064
"ENSG00000078369",4636,7228,9177,5481,7687,3061,3247,7653,3780,8076,9589,7444,3199,4435,4336
"ENSG00000067606",1578,6227,2526,3206,2908,4261,4992,2226,3137,2418,1935,1740,6731,4209,5088
"ENSG00000162585",437,1076,425,606,601,795,630,727,493,679,456,384,991,538,512
"ENSG00000157933",7277,12604,5858,7320,6140,6433,6692,9079,4676,5590,5805,4366,12131,7359,4157
"ENSG00000116151",356,1082,304,808,384,1297,1084,372,533,667,271,363,1550,836,973
"ENSG00000149527",53,139,104,225,186,156,542,107,46,124,41,17,966,282,178
"ENSG00000157916",2589,3236,3319,2733,2970,2270,2916,3294,3483,2909,3758,2478,4653,2664,3266
"ENSG00000157911",883,672,616,632,797,558,454,590,507,743,1021,728,483,365,308
"ENSG00000157881",392,645,446,460,307,892,793,512,575,455,729,391,1005,621,570
"ENSG00000157870",585,194,195,712,283,481,170,536,473,193,478,251,851,262,574
"ENSG00000142606",17,26,208,54,81,41,40,8,39,31,105,34,43,41,48
"ENSG00000215912",91,172,107,0,59,176,121,51,70,64,49,31,193,90,52
"ENSG00000157873",1186,1628,1365,1738,2515,3131,3164,1723,1706,1424,1436,902,4921,1840,2624
"ENSG00000197921",19,0,0,35,47,133,34,0,14,69,40,49,0,33,0
"ENSG00000142611",1030,592,1289,872,499,1125,911,1832,1317,967,324,1739,632,115,133
"ENSG00000130762",2012,2216,1964,2625,2678,5480,3442,2256,2912,2450,2776,1386,5743,2616,4671
"ENSG00000162591",335,2431,416,1814,4489,2595,1129,685,577,776,730,349,1880,312,570
"ENSG00000158109",1217,1639,1632,1558,2889,965,721,1832,1232,2414,3522,2278,670,1220,1180
"ENSG00000198912",571,799,669,718,922,789,682,681,714,742,1055,605,678,505,454
"ENSG00000196581",31,117,43,18,7,12,59,48,46,21,15,0,35,56,32
"ENSG00000116213",901,937,836,729,766,1144,1182,993,810,691,993,714,1147,703,717
"ENSG00000078900",69,43,98,65,147,172,22,66,65,71,261,24,53,79,53
"ENSG00000162592",0,0,0,0,0,0,4,0,0,3,2,0,5,1,1
"ENSG00000116198",1542,2577,1570,1807,1824,2194,1690,1854,1584,1917,1739,1512,1974,1745,1691
"ENSG00000235169",3,7,10,11,0,19,21,4,2,23,30,5,25,6,2
"ENSG00000169598",453,886,363,477,453,431,437,357,350,449,416,439,371,322,357
"ENSG00000130764",1696,1782,1618,1169,1560,1707,969,1339,1453,1544,2306,1400,1629,1126,1020
"ENSG00000131697",855,1287,694,789,609,1157,1166,541,837,862,830,470,1280,833,784
"ENSG00000069424",416,1601,1743,128,321,121,530,377,304,150,248,229,569,730,365
"ENSG00000158292",1087,2450,990,578,528,2046,1049,718,751,1151,221,1091,1066,960,1652
"ENSG00000116254",57,40,41,13,12,12,25,4,9,8,6,10,48,8,6
"ENSG00000116251",5592,5838,6022,4498,9228,1922,961,4708,4702,9813,11040,11147,1609,1854,2128
"ENSG00000158286",320,1609,213,937,846,1908,2273,571,897,689,682,228,2245,869,903
"ENSG00000116237",2760,2820,2208,2341,2964,1246,818,1556,1989,3459,7626,2889,866,1580,1427
"ENSG00000097021",1019,1259,1355,671,857,583,514,436,682,1177,1643,794,786,499,704
"ENSG00000187017",381,1555,348,465,362,1111,1071,336,662,317,407,386,1444,486,677
"ENSG00000215788",714,2327,893,961,529,1310,1390,542,766,332,704,498,1593,915,956
"ENSG00000171680",1720,4311,2025,1751,691,3552,2761,1047,1823,722,1174,1467,3609,1083,1365
"ENSG00000069812",371,2793,189,934,389,765,1182,505,707,244,1712,1480,335,593,832
"ENSG00000162408",2175,3819,2468,2151,2007,1549,1681,1169,1804,2173,2665,2439,1686,1639,1236
"ENSG00000204859",897,1193,640,1003,1270,2268,1875,611,1244,766,794,835,2733,1217,1389
"ENSG00000162413",1023,2084,1213,902,1226,909,1025,655,627,800,1169,852,866,803,489
"ENSG00000116273",627,1295,963,591,634,499,437,616,439,610,913,683,451,357,290
"ENSG00000041988",224,405,242,298,284,498,307,151,209,238,320,279,453,317,281
"ENSG00000007923",2242,3261,2120,2651,2699,2514,2484,1296,2549,2861,3580,1888,3529,2136,2781
"ENSG00000049249",60,472,389,58,44,27,9,218,18,49,383,119,11,136,76
"ENSG00000116288",1683,2139,2996,1603,1842,771,458,1339,1502,2638,5022,3118,605,1148,801
"ENSG00000116285",1476,2016,3257,3843,3327,799,1099,3340,1492,2209,1946,1411,298,978,1126
"ENSG00000171735",660,1115,873,660,667,454,420,440,701,744,1212,934,302,440,327
"ENSG00000049246",165,414,475,669,296,204,1103,302,731,390,645,133,568,342,98
"ENSG00000049247",102,3,140,116,386,115,157,123,95,209,49,167,159,58,44
"ENSG00000049245",2941,4132,3695,3459,4915,1853,1716,2246,1977,4008,7131,4728,1705,2347,1597
"ENSG00000162426",5,87,23,7,4,6,20,6,3,0,6,0,71,9,6
"ENSG00000142599",10977,19152,9409,14679,15558,14053,13176,7526,10194,11763,12757,10478,11648,8270,8400
"ENSG00000197241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000074800",12275,14584,27498,15529,18675,6164,4131,12833,8779,21950,35947,15634,3818,8667,5104
"ENSG00000171621",226,1023,811,529,495,297,422,502,402,323,655,451,250,555,571
"ENSG00000142583",53,198,2539,34,90,22,159,104,88,20,284,16,107,165,235
"ENSG00000049239",4499,7023,8715,5531,6592,4628,4784,7252,3835,5386,6592,8042,5492,4164,2390
"ENSG00000180758",1352,3851,2276,708,845,718,522,1121,498,762,1760,555,754,631,640
"ENSG00000171612",486,414,748,383,446,268,225,587,360,474,936,776,277,339,251
"ENSG00000188807",834,979,913,501,267,696,587,523,555,818,602,371,670,470,221
"ENSG00000171608",159,1033,369,229,441,260,582,414,282,86,583,160,690,854,597
"ENSG00000171603",3962,11958,5274,7763,9907,9802,5029,6202,7596,10524,10920,7408,7232,7042,7452
"ENSG00000162441",672,1318,711,1012,1503,448,363,841,676,1297,1940,1161,307,645,598
"ENSG00000173614",763,867,507,845,1200,955,725,812,854,994,1184,975,851,944,1054
"ENSG00000162444",4,51,21,2,0,4,2,6,10,0,30,6,26,24,4
"ENSG00000130939",2960,4885,2130,3917,5334,3353,2875,3973,3308,4023,4585,5185,2285,1941,2087
"ENSG00000178585",606,645,920,751,826,618,525,748,545,956,837,997,714,396,484
"ENSG00000054523",5254,8067,8495,7142,10664,5719,3999,6534,5968,6603,10345,4771,5045,5231,5430
"ENSG00000142657",2594,1430,3764,1939,1743,1178,647,2550,1843,3074,2783,3509,879,963,1212
"ENSG00000251503",0,14,9,16,1,1,0,0,10,13,9,0,0,2,12
"ENSG00000175279",119,148,98,139,129,93,73,99,122,305,220,140,66,57,87
"ENSG00000160049",2114,2933,2304,1933,1948,1563,1068,2324,1511,2545,2603,2491,1209,1293,989
"ENSG00000241563",21,18,10,20,8,33,9,20,28,12,6,5,15,17,10
"ENSG00000142655",419,600,583,453,411,578,434,577,554,489,489,457,893,397,508
"ENSG00000175262",8,64,21,4,4,12,43,8,38,6,4,26,179,33,16
"ENSG00000130940",4124,5413,2937,7329,5521,9035,9983,7942,5600,4990,3480,3232,14312,7894,9665
"ENSG00000120942",688,823,731,649,791,466,350,744,446,747,1042,1127,357,440,223
"ENSG00000204624",82,15,6,17,12,66,55,16,13,22,0,66,82,24,10
"ENSG00000116661",56,157,171,32,14,8,12,49,23,16,80,2,7,22,0
"ENSG00000132879",200,203,289,310,291,204,425,379,281,109,386,127,268,262,114
"ENSG00000116663",111,182,240,183,180,64,74,112,95,197,504,151,108,107,86
"ENSG00000116670",264,308,363,145,90,141,113,473,188,187,302,429,174,117,81
"ENSG00000162490",25,25,20,31,7,25,27,36,10,15,19,22,26,8,5
"ENSG00000177674",465,319,283,265,302,200,229,224,163,323,318,285,157,158,140
"ENSG00000120948",2067,2677,2606,1635,2369,1925,2173,2595,2027,1890,3222,2422,1791,1950,2198
"ENSG00000009724",4,7,0,0,3,0,24,2,5,0,0,7,7,13,8
"ENSG00000171824",2392,3238,2482,2507,3050,2152,2462,2931,2506,2660,3663,2489,1859,1698,1924
"ENSG00000171819",2,11,11,2,12,2,10,0,3,1,8,0,39,11,3
"ENSG00000116649",729,843,881,591,366,410,321,916,335,631,430,421,297,393,224
"ENSG00000198793",5526,6326,5108,4903,3710,4967,5248,5412,5194,5244,8009,5582,6212,5337,4905
"ENSG00000215910",13,8,19,17,15,9,35,17,14,8,13,15,29,15,17
"ENSG00000177000",1233,2425,1456,1765,2159,2371,1943,1994,1692,1490,1990,1698,2652,2064,1922
"ENSG00000175206",4,2,0,10,0,8,14,6,7,2,0,6,0,10,4
"ENSG00000011021",1100,1869,791,1013,702,1310,1589,1223,1533,797,766,1004,1549,1407,1502
"ENSG00000116685",1760,2565,2515,1560,2798,2336,967,1866,1578,1858,4171,2840,2071,1614,1899
"ENSG00000083444",1094,2111,1736,1080,949,1267,628,1374,814,1464,1959,973,1155,859,917
"ENSG00000116688",2781,3124,3625,2766,3172,2937,2652,3666,3067,3295,7508,4373,4095,2945,2760
"ENSG00000116691",564,781,510,402,318,706,417,382,486,397,488,264,482,307,385
"ENSG00000120949",24,64,67,27,14,16,10,18,10,0,17,24,4,27,2
"ENSG00000028137",2704,1510,2545,847,1202,658,694,1580,885,817,1402,1161,673,1283,744
"ENSG00000048707",9671,8969,11269,12434,12689,13843,16442,12559,12393,11193,15066,10678,19601,15757,16756
"ENSG00000280267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000204518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162496",2695,1756,2810,1625,2932,2501,1632,2023,1456,2200,1975,2859,1437,1126,1495
"ENSG00000162493",354,1408,753,138,19,9,93,363,67,80,353,222,54,107,45
"ENSG00000116731",3270,6820,1194,4927,1637,805,4390,1319,3484,3805,3859,3252,3678,4039,1000
"ENSG00000142621",113,198,146,115,72,126,144,95,105,43,114,31,141,111,189
"ENSG00000162438",14,2,13,0,0,4,2,4,2,3,0,0,22,0,4
"ENSG00000142634",2725,3853,4024,3858,5453,4821,3051,4197,3414,3997,3101,3299,3499,3129,3360
"ENSG00000189337",3838,9364,7703,8924,7096,5512,13484,4529,11558,5878,3206,6078,17121,11263,9485
"ENSG00000171729",5782,11227,5608,6950,6617,9008,7403,6377,4549,3967,4882,2903,7226,7079,7714
"ENSG00000142615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215704",0,1,0,0,0,0,0,0,2,0,0,2,2,0,2
"ENSG00000132906",347,745,485,642,562,898,674,683,528,645,653,420,638,384,429
"ENSG00000116138",1856,1546,932,1449,2269,1353,1372,2014,1355,2365,1923,1526,1118,1711,955
"ENSG00000197312",5962,11007,7655,5250,7695,3939,3866,5234,3898,5430,9957,6318,3284,3905,2849
"ENSG00000116786",1022,1591,2023,1104,1139,1667,1770,1152,1411,1482,1518,1120,2460,1285,1255
"ENSG00000162461",32,158,24,54,167,150,306,73,98,57,35,67,335,170,235
"ENSG00000162460",4,48,175,0,113,31,62,18,103,2,44,5,81,70,144
"ENSG00000162458",1335,2589,2593,1738,2660,3857,3008,2384,3598,1957,2172,2418,4424,3551,5990
"ENSG00000116771",1359,1111,2829,743,1266,452,330,1069,832,1147,1962,1118,390,404,410
"ENSG00000215695",17,17,16,17,16,27,18,19,17,15,12,13,13,22,22
"ENSG00000233954",69,68,63,68,98,79,63,98,90,137,289,169,40,69,85
"ENSG00000173641",9,40,14,0,2,16,14,0,8,0,5,4,101,15,14
"ENSG00000186510",0,14,2,10,5,53,36,14,12,7,21,0,148,44,22
"ENSG00000185519",0,11,0,0,2,0,0,10,0,0,8,0,0,0,0
"ENSG00000116809",457,621,474,586,507,1039,802,661,818,475,368,488,1177,555,651
"ENSG00000065526",7083,12809,8320,9719,9295,9766,9604,10489,8232,7491,9320,6965,10215,7865,7727
"ENSG00000142627",2968,3452,4980,3083,2860,1706,1494,7941,1183,2587,1058,928,1548,1138,1810
"ENSG00000132881",69,110,90,103,73,165,140,101,127,205,80,133,144,76,119
"ENSG00000142632",771,683,277,609,148,900,492,532,723,405,194,499,737,225,260
"ENSG00000058453",602,1700,738,1337,939,2084,1572,939,1280,735,846,450,3016,744,941
"ENSG00000055070",940,1196,1232,947,1096,674,506,1083,963,1059,1680,989,1058,654,757
"ENSG00000187144",11,36,25,5,21,3,21,22,10,17,31,30,24,20,16
"ENSG00000157191",838,1632,1001,1603,2458,1727,1095,1132,1029,1055,1945,1072,1266,1132,945
"ENSG00000219481",2528,4330,1853,3757,5066,6351,4522,1977,3819,3165,4666,2453,4700,5829,3735
"ENSG00000037637",1477,2398,1498,1714,1975,1774,1768,1689,1603,1369,2624,1632,1509,1627,1332
"ENSG00000117122",347,569,107,9,20,18,48,155,103,15,66,61,27,54,20
"ENSG00000159363",1405,1408,2009,1113,1373,1413,957,1266,1044,1695,1010,1038,1109,967,1244
"ENSG00000117118",725,1134,1473,1308,1639,679,723,1332,993,1777,4365,1736,482,771,734
"ENSG00000142619",7,0,794,1,2,0,5,7,8,11,0,3,0,4,0
"ENSG00000142623",26,0,6,29,0,0,0,0,0,0,0,0,16,19,1
"ENSG00000117115",332,1120,321,3512,8564,7035,6920,803,5358,7232,497,874,10819,9558,11426
"ENSG00000179051",3044,4299,3690,3267,2108,2626,1863,4094,2787,5150,4052,4843,2318,1641,1404
"ENSG00000117148",9,24,27,0,9,0,0,3,0,3,64,3,11,0,3
"ENSG00000179023",14,22,140,124,24,76,132,66,42,147,25,111,24,113,80
"ENSG00000117154",4,21,3,3,0,4,3,4,2,2,1,9,42,156,22
"ENSG00000074964",7636,8644,7997,7956,6519,13976,13659,8731,8437,5747,6633,8756,19796,6744,8301
"ENSG00000179002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000159423",1234,462,1780,290,434,292,226,1343,396,593,508,642,150,102,119
"ENSG00000169991",1457,962,1931,549,54,514,669,1127,804,821,1036,1331,30,374,301
"ENSG00000040487",296,478,336,307,314,821,453,358,409,287,371,291,650,389,292
"ENSG00000127481",15544,25632,23308,18455,19023,20584,21756,21281,16384,17777,19941,17850,20669,16131,16798
"ENSG00000127463",3247,3763,2903,2631,2775,2518,1614,2571,2103,3363,4119,3099,2027,1973,1500
"ENSG00000053371",384,816,828,555,1291,542,451,841,722,1236,2300,1331,638,400,441
"ENSG00000211454",305,985,416,396,1117,699,498,161,627,202,775,238,487,543,711
"ENSG00000053372",1138,1317,1664,932,1133,660,503,974,796,1411,2228,1431,445,533,326
"ENSG00000162482",541,589,968,755,2425,937,583,535,784,965,961,743,647,495,677
"ENSG00000077549",5965,9505,7128,7416,8134,5740,6757,6803,4661,7631,8748,5213,6667,8812,7035
"ENSG00000158747",2250,5005,3546,5703,9757,1606,3578,4466,4168,6848,13311,4717,4659,3812,3027
"ENSG00000173436",638,584,1941,848,1526,477,439,900,713,2092,3542,2438,373,777,333
"ENSG00000178828",257,501,70,567,1064,920,420,1304,367,852,514,1179,982,384,489
"ENSG00000158748",417,567,257,793,563,703,704,465,521,655,381,490,1005,559,403
"ENSG00000162542",1018,1293,939,1400,1731,2912,2088,1758,1750,1731,1953,1546,2953,1268,1111
"ENSG00000188784",1,3,0,0,0,0,0,2,0,0,2,0,0,0,0
"ENSG00000169914",1218,1694,1603,1012,2737,964,997,1208,1380,1566,2538,1687,1199,1054,1210
"ENSG00000127472",1,24,0,2,0,4,0,0,2,0,4,0,40,21,0
"ENSG00000187980",4,2,2,0,2,0,2,0,7,4,0,4,17,8,6
"ENSG00000188257",1876,189,302,1510,124,783,1279,4884,2151,222,525,2446,1494,2056,3987
"ENSG00000158816",0,21,54,9,7,0,183,441,6,22,0,27,339,59,55
"ENSG00000162543",1379,317,791,256,721,381,479,2234,633,709,247,983,529,343,329
"ENSG00000183114",3,4,0,4,0,0,0,3,0,3,0,0,0,0,2
"ENSG00000162545",1866,4748,3042,2529,3901,3403,3188,4430,3046,3274,1451,2616,3791,3829,4167
"ENSG00000090432",563,831,748,563,725,669,484,708,696,561,1633,1032,749,717,505
"ENSG00000158825",23,117,113,23,52,40,37,83,125,182,114,24,15,69,354
"ENSG00000158828",583,1591,888,1321,1970,1762,1192,1544,1684,1377,2485,1744,1410,1667,1406
"ENSG00000244038",4750,6029,8012,4303,5146,2775,1578,5271,3338,6796,10442,8501,2072,2808,2411
"ENSG00000162551",46,133,74,4,12,0,35,58,51,5,26,25,60,69,19
"ENSG00000142794",338,397,758,546,335,396,539,615,543,444,467,627,921,236,282
"ENSG00000076864",650,388,464,1867,1041,2748,3496,1181,1657,3235,364,861,3369,1254,1819
"ENSG00000117245",4,53,23,8,0,8,5,3,4,0,3,5,8,3,12
"ENSG00000189410",7,86,12,6,4,4,10,8,0,1,8,0,2,0,0
"ENSG00000075151",25664,29706,22780,19818,24107,16900,21691,18375,20984,18627,28827,14821,20114,32348,30597
"ENSG00000117298",2611,4301,3432,3603,4666,2879,2428,3333,2456,2494,2395,2458,3802,3271,3551
"ENSG00000127483",9330,25238,12344,11735,10762,10269,7135,10360,9149,9645,13739,9383,8253,7807,9014
"ENSG00000090686",3143,4842,3446,3846,5862,2572,2963,3521,3067,3432,7352,2900,2309,3695,2457
"ENSG00000187942",37,86,70,53,64,66,95,79,87,45,37,80,84,94,84
"ENSG00000142798",11642,30808,18154,13124,14008,11822,12260,16111,10178,10998,7624,8059,22718,10092,9815
"ENSG00000070831",7071,10633,11706,10040,12405,2271,4136,9900,6046,10757,16627,11832,4040,6656,4931
"ENSG00000162552",301,211,290,73,80,184,201,180,139,69,193,88,187,182,130
"ENSG00000173372",237,1049,866,181,116,83,216,460,165,181,906,87,689,891,197
"ENSG00000159189",385,1637,1277,245,261,136,233,933,229,280,1180,158,1250,1428,221
"ENSG00000184677",2452,4229,2669,2629,2261,3293,3316,2659,2793,2332,2780,2917,4186,2922,2630
"ENSG00000173369",215,617,722,147,174,60,78,647,131,157,895,61,715,347,196
"ENSG00000215906",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133216",48881,45736,32089,47490,19511,41179,58587,46422,32037,34734,20275,37919,55024,20619,12668
"ENSG00000179546",453,305,301,152,1015,68,7,112,79,234,338,60,14,17,217
"ENSG00000227868",5,0,0,4,2,2,0,0,5,4,2,0,0,0,0
"ENSG00000169641",6198,5694,8832,7142,9133,5340,4739,5167,4269,5156,7620,4868,3728,5389,5646
"ENSG00000004487",4905,4038,5127,3110,3353,1925,1404,3955,3165,3913,5443,5209,1695,1490,1081
"ENSG00000204219",59,516,89,427,1082,695,1047,259,458,958,356,136,1768,788,1022
"ENSG00000125945",534,979,391,726,1003,404,318,525,341,473,665,534,1376,364,0
"ENSG00000088280",59,389,38,289,460,594,671,74,500,306,391,133,966,503,496
"ENSG00000125944",3131,4156,3736,2652,3856,1481,1296,2920,2589,3309,7211,3196,821,2088,369
"ENSG00000007968",0,0,419,0,291,0,41,235,291,375,0,25,483,431,546
"ENSG00000117318",919,514,528,1289,968,2114,764,1174,1370,1869,1590,1345,1115,1294,906
"ENSG00000188822",2,109,33,16,83,0,12,18,2,10,31,0,60,179,134
"ENSG00000179163",1049,1722,2580,1938,3616,1431,849,2479,1630,3328,3654,2977,1635,2256,1789
"ENSG00000142676",7282,7047,8415,9175,10208,3397,2533,11357,8541,14459,17200,9649,2777,3467,3445
"ENSG00000011009",987,722,1099,732,888,745,573,1054,962,1011,1542,1046,752,677,876
"ENSG00000117308",1112,2317,1880,1372,1729,1795,1503,1545,1324,2049,2501,1141,1794,1724,1819
"ENSG00000117305",803,1670,1045,1182,1666,1193,935,1260,1080,1643,1919,1634,1096,917,883
"ENSG00000011007",1429,1211,1662,1784,1750,1913,1497,2155,1739,1699,1575,847,1991,1440,1137
"ENSG00000057757",900,1442,1333,982,1234,624,493,1041,720,1376,3122,1475,573,777,599
"ENSG00000189266",2787,660,3702,3019,6559,1294,1135,3158,2222,3615,9707,5382,921,2776,2004
"ENSG00000188529",6148,7539,6754,5842,10757,3170,3138,4290,4432,5750,13080,5395,1982,4970,3126
"ENSG00000142661",1330,2908,423,462,1077,257,269,4868,1134,669,16,697,547,249,481
"ENSG00000142677",777,2623,1551,768,1869,829,760,1291,1338,827,444,1104,652,845,1090
"ENSG00000185436",304,1651,1105,472,1144,885,538,760,768,461,499,745,800,753,997
"ENSG00000158055",127,228,69,50,79,97,40,100,93,108,65,61,4,44,33
"ENSG00000001460",261,289,179,418,490,436,284,305,396,354,379,130,232,348,582
"ENSG00000001461",1700,2133,1709,2519,3844,2227,2211,1852,2004,2322,3208,2641,1869,2013,2243
"ENSG00000117602",165,1884,1108,2253,1932,905,664,1919,1342,2476,2990,2583,580,876,732
"ENSG00000184454",24,139,307,122,48,53,92,356,83,133,66,206,7,77,25
"ENSG00000133226",4515,5923,5211,5471,5505,4232,3515,5643,3796,5128,6860,3378,3200,3609,3368
"ENSG00000169504",1806,5412,2749,2324,1423,789,466,2053,1054,3316,3551,2786,744,3033,1086
"ENSG00000020633",412,288,369,180,232,87,273,380,104,61,721,86,176,614,232
"ENSG00000117614",544,650,611,949,1311,463,297,734,748,986,1863,627,268,501,490
"ENSG00000204178",1194,1587,1558,1311,2231,995,969,1499,1294,1454,2174,2035,863,1237,1142
"ENSG00000117616",2381,6210,1682,6520,5388,6180,7288,3097,3452,4444,3987,3413,6907,5293,4653
"ENSG00000187010",6,14,13,7,17,14,12,11,5,5,6,11,9,19,13
"ENSG00000183726",1324,2206,2007,1663,2230,729,484,1000,1101,1922,2850,2049,424,1212,785
"ENSG00000188672",0,13,3,7,12,11,17,5,7,16,11,16,3,4,0
"ENSG00000157978",419,992,1815,2038,889,2269,983,528,1202,1669,655,325,1581,964,1437
"ENSG00000117643",117,1176,211,105,242,145,268,302,99,45,293,70,430,372,236
"ENSG00000158008",3,7,0,3,10,2,1,10,5,0,9,4,25,17,5
"ENSG00000158014",24,347,280,3,0,25,6,36,34,3,56,84,9,0,4
"ENSG00000282872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197245",16,85,57,6,24,10,13,12,20,4,8,22,35,23,3
"ENSG00000175087",572,604,739,670,859,477,333,572,525,1023,1186,1132,257,544,357
"ENSG00000162430",2041,5015,3160,2440,2060,2054,1342,2445,1561,3096,3652,1290,2752,1684,1254
"ENSG00000117640",815,1653,860,888,1434,2088,1836,1291,1503,1252,2798,1327,2319,1476,1187
"ENSG00000127423",248,333,333,104,46,57,21,108,147,146,408,68,40,28,39
"ENSG00000117632",2562,2741,2279,1623,1731,879,502,3240,2191,3033,4168,3885,799,590,718
"ENSG00000158006",901,1061,973,1382,1857,1075,555,1177,1126,1720,2402,1552,626,909,1049
"ENSG00000182749",255,763,197,294,248,202,140,281,184,236,151,260,135,160,49
"ENSG00000188782",0,3,0,4,0,3,7,3,0,0,2,4,6,3,2
"ENSG00000236782",20,14,93,23,50,15,7,30,37,49,67,68,29,20,10
"ENSG00000142675",1069,2621,1374,1666,1821,2357,1864,1221,1343,1092,698,902,3233,1125,1748
"ENSG00000142684",290,368,709,269,309,201,109,358,291,318,590,379,271,177,91
"ENSG00000176092",513,1125,1274,193,851,400,228,340,343,311,119,81,317,813,1131
"ENSG00000130695",591,864,857,839,735,1153,951,717,1025,903,1025,486,1081,546,685
