"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000197694",20293,17835,18040,17554,21911,19821,15131,15569,14302,16234,19932,14719,18554,16448,15207
"ENSG00000119335",16779,9284,14775,9422,11255,5217,2633,12609,7089,13955,31359,16099,3429,4495,2688
"ENSG00000160447",295,267,563,258,310,547,261,286,264,333,257,113,417,93,180
"ENSG00000160446",255,173,629,229,296,324,137,260,506,773,1089,562,365,160,243
"ENSG00000119333",6569,6002,5061,6416,6945,9449,5366,3780,4758,3771,6337,3515,9315,5694,5170
"ENSG00000160445",1547,1601,1277,1402,1717,2123,2004,1609,1765,1418,1194,1259,1952,1790,2114
"ENSG00000167130",365,450,754,486,333,657,386,382,687,581,722,509,421,540,759
"ENSG00000175287",15,77,19,16,9,77,43,22,60,10,18,0,105,66,51
"ENSG00000095319",4561,2731,3531,1875,1964,2458,2061,2450,2080,2698,3895,2414,2320,1882,1374
"ENSG00000148341",2485,2212,1415,2768,3100,8388,3766,2467,2888,2070,1990,1495,4237,2521,2844
"ENSG00000148343",1889,1603,1293,1777,1783,4427,3636,1774,2679,1362,1890,1148,5059,2226,2699
"ENSG00000175283",350,337,367,232,146,165,124,238,166,305,448,323,173,172,134
"ENSG00000188483",542,674,328,335,342,441,245,613,286,304,824,351,197,179,146
"ENSG00000095321",1385,449,506,661,1135,1241,962,2429,956,588,1380,1132,1001,613,1001
"ENSG00000119383",3821,2040,2304,1605,2045,2240,1655,2833,1969,1675,5120,2642,1770,1248,1283
"ENSG00000204054",2088,1142,1147,1821,399,1342,262,1987,730,1598,1068,897,272,285,243
"ENSG00000167157",14,47,7,0,0,5,5,8,18,4,15,6,36,23,0
"ENSG00000148344",117,385,140,50,38,53,47,204,51,50,86,100,55,52,19
"ENSG00000179058",14,21,9,24,9,51,18,17,7,23,0,12,30,5,9
"ENSG00000148335",2385,2715,1343,3147,1102,3967,1357,1891,1022,2829,952,1034,2373,1351,993
"ENSG00000148331",988,1169,678,840,844,1447,948,1042,738,771,991,802,1219,794,977
"ENSG00000187239",381,3204,1420,1110,1588,2265,2360,2368,2019,1065,1683,1724,4328,3609,3296
"ENSG00000136816",969,1816,1066,1324,1965,2186,1239,1318,1060,1155,1856,1766,1728,1739,928
"ENSG00000136819",1026,881,919,907,1099,889,437,1077,1012,1095,1561,968,467,697,483
"ENSG00000136878",1239,1422,792,829,894,1967,1194,923,899,769,614,914,2210,1005,823
"ENSG00000136827",1310,1435,1188,1031,1197,1221,840,1236,929,1004,1790,1353,861,839,726
"ENSG00000107130",837,647,1167,279,106,417,25,439,375,637,711,320,595,217,138
"ENSG00000148357",162,1068,1607,314,228,661,2214,422,1052,81,61,259,6573,1809,2404
"ENSG00000148358",6026,7102,5126,5912,7294,5550,4155,7425,4918,7172,7385,8421,4667,3892,3795
"ENSG00000130707",2103,4602,4865,6826,4059,2415,2184,5755,4827,4764,5866,5868,1326,6956,4076
"ENSG00000107164",7397,6100,5749,4491,5692,4167,4094,4492,3278,4099,6309,1514,3341,4296,1689
"ENSG00000130720",78,240,82,4,58,50,342,60,224,10,51,90,564,42,657
"ENSG00000050555",109,237,287,70,107,65,147,140,155,35,125,62,237,397,76
"ENSG00000126878",67,141,50,36,10,71,22,12,72,106,242,11,125,70,17
"ENSG00000130711",0,4,6,6,4,0,2,8,2,0,2,0,0,4,4
"ENSG00000130713",1703,2201,1844,993,1433,1485,1300,1299,1490,1613,3282,771,1322,685,661
"ENSG00000097007",7242,10147,6405,6890,8121,8685,7619,6229,6319,5764,8458,4746,10137,6395,5400
"ENSG00000188710",2,30,0,0,4,16,4,2,6,4,4,6,46,3,31
"ENSG00000126882",95,422,185,115,161,55,218,111,105,73,243,46,174,441,242
"ENSG00000126883",6171,4922,4637,3764,4873,5669,5079,3583,4137,3709,5385,3558,4254,3875,3103
"ENSG00000283526",74,54,4,157,68,901,160,59,100,122,36,100,563,151,232
"ENSG00000130714",853,1400,761,935,863,1946,1164,1029,831,900,1090,937,1332,880,963
"ENSG00000130717",521,645,541,381,387,685,389,540,561,574,562,620,597,488,396
